regime_label,prob_r0,prob_r1,prob_r2
0,1.0,2.9889651045780413e-106,1.5295401753925994e-85
2,0.001969975857619189,8.37781126318321e-05,0.9979462460294174
2,4.159327103672856e-12,0.019618780592679467,0.9803812194034807
0,0.9843677251784912,9.277233165653035e-05,0.01553950249030348
2,0.1757422458179905,0.00024156202154706092,0.8240161921600397
0,0.970199722335307,5.6709136189377086e-05,0.029743568528773173
2,0.3414610148770802,2.5302578779160516e-05,0.6585136825441014
2,1.2293337057793969e-05,4.599743737445406e-05,0.9999417092258598
1,6.743942673773417e-31,1.0,7.233054419389454e-64
2,0.00039641740548525354,0.0006119836230028533,0.998991598971539
2,7.053089614692965e-08,0.0008819363829028547,0.9991179930862816
0,0.6298561523038613,0.37014384769599534,3.5808095577113615e-14
1,9.871454795716518e-42,1.0,1.9655078283374267e-18
2,2.1650517880137203e-08,0.00305381370769163,0.9969461646418313
0,0.9997173774411766,7.42563888339532e-05,0.0002083661702700526
0,0.8746401178287008,0.0013961833188909378,0.1239636988522573
0,0.9980843291044944,9.79144544381519e-05,0.001817756441081388
2,5.637910178321784e-13,0.028163199591508755,0.9718368004082336
0,0.9915031135989784,4.0290042138394433e-05,0.008456596358964206
0,0.9999149836792062,8.480835281626e-05,2.0796784301477883e-07
2,4.252335911993062e-08,1.9586127663593162e-05,0.9999803713488425
0,0.9841817572207053,0.01581824277877008,2.1692593443065944e-13
0,0.5628056585286139,0.0001695487218447566,0.4370247927495677
2,3.7341815962681955e-06,1.3032533241820322e-05,0.9999832332855936
2,0.007902348169336647,7.420630531068169e-06,0.992090231200266
2,4.3325276022292356e-07,2.4926503685774764e-06,0.9999970740970697
2,2.399694798794264e-06,4.1034402512384995e-05,0.9999565659028629
2,0.0007823872980866844,2.1321339431419897e-06,0.9992154805683522
0,0.9999863624009293,1.1959579898284897e-05,1.6780194989922098e-06
2,2.59299101414107e-07,8.809280326626214e-06,0.9999909314203357
0,0.8473797900185174,1.3354227469682828e-05,0.15260685575423566
2,0.3159015130569845,3.0430724556728914e-05,0.6840680562180848
2,2.710803443422226e-07,2.569043643488462e-06,0.9999971598758152
2,0.23403804300319436,8.850936876834921e-06,0.765953106059486
2,6.967697052419347e-12,0.0025478019148927906,0.9974521980784683
0,0.9938353822292056,4.9142429831068795e-06,0.006159703527723109
2,1.6258280564350417e-06,2.20253063276739e-06,0.9999961716412666
0,0.9999937285452893,6.269570135944876e-06,1.884122442815232e-09
2,6.82121834809704e-07,1.3922779419197072e-06,0.9999979256002605
0,0.988760698072452,2.2045299720059476e-06,0.011237097397823418
2,0.000606156525663952,2.0171673322210654e-06,0.9993918263067338
2,8.547877301583478e-08,2.404834715250112e-06,0.9999975096865541
0,0.9999940493039207,1.5072793199341467e-06,4.443416976201e-06
2,2.7992879920388488e-08,5.555376949056535e-06,0.9999944166303414
2,0.28456684447557873,7.343171250850572e-06,0.7154258123533201
0,0.9999828730235673,3.3489943806883947e-06,1.3777981958085872e-05
0,0.9999012463383485,9.871131960437843e-05,4.234224066867787e-08
0,0.6872370690543146,6.299719678675934e-05,0.31269993374886074
2,0.029092891239410085,7.648887424852429e-05,0.9708306198859163
2,0.27921329832877934,2.8347051165239263e-05,0.7207583546197297
2,0.0003568057504007215,1.3907217289355156e-06,0.9996418035280932
0,0.9999883038728574,9.046268564323725e-07,1.0791500431807659e-05
2,4.594181730660958e-06,2.1937998611248165e-06,0.9999932120184267
0,0.999324459245173,5.547431725757203e-06,0.000669993322877112
2,5.527596935231659e-13,0.012468404676879373,0.9875315953229074
2,0.002890662535673128,6.644984464340178e-06,0.9971026924798809
0,0.8096925414022546,5.011281555791421e-05,0.19025734578188713
0,0.997608920742276,1.684142168988365e-05,0.0023742378359971534
2,4.696462375139537e-06,1.986661723371223e-05,0.9999754369207019
0,0.9865135280972567,2.454051991032491e-05,0.013461931382801301
0,0.9996926934610187,2.9930829421879277e-06,0.0003043134556329247
2,0.0005372289133495006,5.615988107898861e-06,0.9994571550987692
2,1.0962929073662109e-07,1.749461827401776e-05,0.9999823957526829
0,0.9999940148997604,1.1952264056683342e-06,4.789873670699791e-06
2,4.364508021390234e-07,2.1284138249694847e-06,0.9999974351354618
2,0.44485734642916264,6.5829994825471925e-06,0.5551360705716627
2,0.024012551675483596,4.960840777202932e-06,0.9759824874835723
2,3.0850328051509425e-06,1.7931390116215403e-06,0.999995121827926
2,1.2024738429020186e-06,1.9302943449719913e-06,0.9999968672322169
2,1.3250937347403782e-07,4.160449814751484e-06,0.9999957070405178
0,0.6193967454184657,3.7473052085014977e-05,0.38056578152981757
0,0.999991932685388,8.035564827191334e-06,3.1749924889819406e-08
2,2.538535884513124e-11,7.979265852283215e-05,0.9999202073162553
0,0.9999985122260268,9.514010899435295e-07,5.363724306350559e-07
2,5.9180903768867476e-05,2.2622575807218857e-06,0.9999385568385671
2,0.06847435617593267,4.814939427829684e-06,0.931520828885033
0,0.591795476626291,1.3601519651832862e-05,0.40819092185423855
0,0.9991038124085831,3.2682075355387157e-06,0.000892919383896377
2,0.00018253180504556224,6.4276329839558496e-06,0.9998110405621194
2,0.019806232294213754,5.574430805950398e-06,0.9801881932745535
2,2.1106043264223646e-05,2.4849057506657035e-06,0.9999764090507252
2,3.9820631628642425e-09,2.1073486786700216e-05,0.9999789225314433
0,0.9999624195510789,1.4350583149114092e-06,3.6145390843743844e-05
2,0.0031393745858111824,3.519542826993018e-06,0.996857105871501
0,0.9070987365661382,1.1862590723629586e-05,0.092889400842935
2,1.598368235016629e-05,2.868580084333082e-06,0.9999811477376989
0,0.9999969590526996,7.357605917666978e-07,2.3051864000506722e-06
2,0.001511015648163035,2.2499200698825254e-06,0.9984867344322049
2,1.0837230100741486e-06,5.911903420262127e-05,0.9999397972429501
1,9.531774832291925e-17,1.0,3.627181319212052e-42
