window,start,end,mae_moe,da_moe,mae_xgb,da_xgb,mae_lstm,da_lstm
1,0,800,12.729499696332216,59.0,54.38656565962436,52.0,17.466060368067023,56.99999999999999
2,40,840,13.802850859797001,56.99999999999999,43.958016226470455,59.0,23.46095995136201,55.00000000000001
3,80,880,16.610179135447737,64.0,30.183547475615143,57.99999999999999,39.82356521577239,56.00000000000001
4,120,920,15.729403425550464,56.00000000000001,25.202223363967235,54.0,37.055657241655894,59.0
5,160,960,14.959074135816099,70.0,22.249415715440364,64.0,6.214943060559034,61.0
6,200,1000,12.10066388103962,61.0,17.62433128143847,68.0,9.064424511349202,59.0
7,240,1040,10.551736159861086,59.0,19.66784577799737,63.0,17.409667714872956,55.00000000000001
