,To_R1,To_R2,To_R3
From_R1,0.24286972126390335,0.11755664449156743,0.6395736342445292
From_R2,0.13743802157077814,0.693053279490687,0.16950869893853485
From_R3,0.488318659619739,0.06359828309491192,0.44808305728534903
