,0
n_test,99
mae_model,2.8809591352217137
mae_rw,2.9626262626262645
rmse,4.042620560104559
mape_model,4.0943023105987155
mape_rw,4.164972339581683
dir_acc,66.66666666666666
r_corr,0.27675492920224465
beat_rw,True
pct_vs_rw,2.7565787974942135
