window,start,end,mae_moe,da_moe,mae_xgb,da_xgb,mae_lstm,da_lstm
1,0,760,11.2757545119524,56.25,60.942066685691486,53.75,15.672275208905342,58.75
2,40,800,13.846215811699631,56.25,47.6422296288833,58.75,12.157539500251412,56.25
3,80,840,14.248729647763074,60.0,21.421716547746207,55.00000000000001,20.74712869174406,58.75
4,120,880,16.234777763970193,56.25,25.358440738188104,58.75,36.25752418727986,60.0
5,160,920,17.19464728793502,63.74999999999999,26.93003167101555,57.49999999999999,5.03351181500405,61.25000000000001
6,200,960,13.308543769180776,67.5,20.136487117419016,66.25,9.355992159582675,62.5
7,240,1000,12.561783460050822,62.5,18.849156545966867,61.25000000000001,20.09410614889115,61.25000000000001
8,280,1040,11.527866246275604,58.75,18.97806651728228,56.25,12.052867290183903,57.49999999999999
