regime_label,prob_r0,prob_r1,prob_r2
0,1.0,2.988965104586197e-106,1.5295401753828617e-85
2,0.0019699758576156054,8.37781126318321e-05,0.9979462460294174
2,4.15932710366529e-12,0.01961878059264378,0.9803812194034807
0,0.984367725177596,9.27723316563616e-05,0.015539502490317615
2,0.17574224581862985,0.0002415620215464018,0.8240161921600397
0,0.970199722335307,5.670913618922236e-05,0.02974356852874612
2,0.3414610148770802,2.5302578779137504e-05,0.6585136825441014
2,1.2293337057771607e-05,4.5997437374495894e-05,0.9999417092258598
1,6.74394267376115e-31,1.0,7.233054419382876e-64
2,0.0003964174054827298,0.0006119836230028533,0.998991598971539
2,7.053089614692965e-08,0.0008819363829060631,0.9991179930862816
0,0.6298561523032884,0.37014384769666864,3.5808095577113615e-14
1,9.871454795689583e-42,1.0,1.9655078283338514e-18
2,2.1650517880097823e-08,0.00305381370769163,0.9969461646418313
0,0.9997173774411766,7.425638883381812e-05,0.00020836617027043163
0,0.8746401178294962,0.0013961833188871281,0.1239636988520318
0,0.9980843291044944,9.79144544379738e-05,0.0018177564410797348
2,5.637910178332039e-13,0.0281631995914063,0.9718368004082336
0,0.9915031135989784,4.029004213832115e-05,0.008456596358971898
0,0.9999149836792062,8.480835281618288e-05,2.0796784301477883e-07
2,4.252335912000797e-08,1.9586127663593162e-05,0.9999803713488425
0,0.9841817572207053,0.01581824277875569,2.1692593443105402e-13
0,0.5628056585286139,0.0001695487218447566,0.4370247927499652
2,3.734181596261403e-06,1.3032533241820322e-05,0.9999832332855936
2,0.00790234816930071,7.420630531041172e-06,0.992090231200266
2,4.332527602217414e-07,2.4926503685729422e-06,0.9999970740970697
2,2.399694798783352e-06,4.103440251227304e-05,0.9999565659028629
2,0.0007823872980859728,2.1321339431342334e-06,0.9992154805683522
0,0.9999863624009293,1.1959579898306651e-05,1.6780194989983144e-06
2,2.5929910141457866e-07,8.80928032661019e-06,0.9999909314203357
0,0.8473797900177467,1.3354227469658536e-05,0.15260685575451324
2,0.3159015130569845,3.0430724556728914e-05,0.6840680562180848
2,2.71080344341976e-07,2.5690436434861257e-06,0.9999971598758152
2,0.2340380430025558,8.850936876834921e-06,0.7659531060608792
2,6.967697052419347e-12,0.0025478019148858387,0.9974521980784683
0,0.9938353822292056,4.914242983115818e-06,0.006159703527739916
2,1.6258280564394776e-06,2.2025306327633836e-06,0.9999961716412666
0,0.9999937285452893,6.2695701359562806e-06,1.884122442820373e-09
2,6.821218348109448e-07,1.3922779419159085e-06,0.9999979256002605
0,0.988760698072452,2.2045299720079525e-06,0.01123709739785408
2,0.000606156525663952,2.0171673322229e-06,0.9993918263067338
2,8.547877301583478e-08,2.4048347152435504e-06,0.9999975096865541
0,0.9999940493039207,1.5072793199355174e-06,4.443416976213124e-06
2,2.7992879920388488e-08,5.555376949051482e-06,0.9999944166303414
2,0.28456684447506114,7.343171250823857e-06,0.7154258123533201
0,0.9999828730235673,3.348994380670119e-06,1.377798195804828e-05
0,0.9999012463383485,9.871131960401933e-05,4.234224066863936e-08
0,0.6872370690543146,6.299719678675934e-05,0.3126999337491452
2,0.029092891239383623,7.648887424845472e-05,0.9708306198859163
2,0.27921329832827146,2.83470511651877e-05,0.7207583546203852
2,0.000356805750400397,1.3907217289304563e-06,0.9996418035280932
0,0.9999883038728574,9.04626856434018e-07,1.0791500431846919e-05
2,4.594181730669315e-06,2.193799861118831e-06,0.9999932120184267
0,0.999324459245173,5.5474317257622486e-06,0.0006699933228789401
2,5.527596935226631e-13,0.012468404676856693,0.9875315953229074
2,0.0028906625356678694,6.644984464328091e-06,0.9971026924798809
0,0.8096925414022546,5.011281555777747e-05,0.19025734578188713
0,0.997608920742276,1.6841421689868334e-05,0.0023742378359971534
2,4.696462375156623e-06,1.9866617233658023e-05,0.9999754369207019
0,0.9865135280972567,2.4540519910257955e-05,0.013461931382825788
0,0.9996926934610187,2.9930829421852054e-06,0.0003043134556332015
2,0.0005372289133495006,5.615988107893753e-06,0.9994571550987692
2,1.0962929073662109e-07,1.7494618273970025e-05,0.9999823957526829
0,0.9999940148997604,1.1952264056694213e-06,4.78987367071286e-06
2,4.3645080213862644e-07,2.128413824963677e-06,0.9999974351354618
2,0.4448573464279489,6.582999482541206e-06,0.5551360705726726
2,0.02401255167539624,4.960840777189397e-06,0.9759824874835723
2,3.085032805142525e-06,1.7931390116199095e-06,0.999995121827926
2,1.2024738428965504e-06,1.9302943449667244e-06,0.9999968672322169
2,1.3250937347355575e-07,4.160449814740132e-06,0.9999957070405178
0,0.6193967454179024,3.747305208487865e-05,0.38056578152981757
0,0.999991932685388,8.035564827191334e-06,3.1749924889819406e-08
2,2.5385358845200504e-11,7.979265852261443e-05,0.9999202073162553
0,0.9999985122260268,9.514010899452601e-07,5.36372430637495e-07
2,5.9180903768867476e-05,2.262257580719828e-06,0.9999385568385671
2,0.06847435617580812,4.814939427816547e-06,0.931520828885033
0,0.5917954766257527,1.360151965178338e-05,0.40819092185423855
0,0.9991038124085831,3.2682075355357435e-06,0.0008929193838971892
2,0.00018253180504506419,6.427632983944158e-06,0.9998110405621194
2,0.019806232294123684,5.5744308059402584e-06,0.980188193275445
2,2.1106043264166058e-05,2.4849057506611834e-06,0.9999764090507252
2,3.98206316286062e-09,2.107348678662355e-05,0.9999789225314433
0,0.9999624195510789,1.4350583149140195e-06,3.614539084387534e-05
2,0.0031393745858226034,3.519542826986616e-06,0.996857105871501
0,0.9070987365661382,1.1862590723661953e-05,0.09288940084335741
2,1.5983682350195362e-05,2.868580084325255e-06,0.9999811477376989
0,0.9999969590526996,7.357605917680362e-07,2.3051864000590587e-06
2,0.0015110156481616607,2.249920069880479e-06,0.9984867344322049
2,1.083723010072177e-06,5.9119034202675036e-05,0.9999397972429501
1,9.531774832248579e-17,1.0,3.627181319198856e-42
1,1.9745672146249327e-15,0.9900227357735388,0.009977264226648587
1,6.0455085256095845e-06,0.9999939544914856,1.3268383653429835e-23
1,0.00031940384055346896,0.9311058857337168,0.06857471042558345
1,1.9013222807826175e-09,0.6070016054875661,0.39299839261154745
1,1.5071628905696696e-25,1.0,4.5206783451914114e-55
2,0.33574174402004875,0.007921112442467619,0.656337143537338
2,2.435956868266784e-07,7.515971027492177e-05,0.9999245966936369
2,0.2753694460612889,0.01917484643762961,0.7054557075008935
1,5.021789072847902e-157,1.0,1.6964837017529325e-114
1,2.44551952424237e-13,0.9999901324995596,9.867500370463915e-06
1,3.931095773068347e-12,0.9999883974287591,1.1602567024213666e-05
1,1.376015542687731e-06,0.9999986239845756,7.817888460971911e-19
1,3.315496502391919e-31,0.9999999999918145,8.370153018993119e-12
0,0.9492809944241823,0.007021319492192459,0.04369768608363881
2,1.1856726573416796e-07,5.5231319617190814e-05,0.9999446501126836
0,0.9976064580437642,0.0004202195536712134,0.001973322402646832
0,0.9976820587633154,0.00010942914832336154,0.002208512088514225
2,5.644722382607856e-06,9.383568397462943e-06,0.9999849717088758
2,0.2360590135875773,4.984919757099028e-05,0.7638911372147533
2,1.8243292944899482e-06,7.080046555576506e-06,0.9999910956244905
0,0.9999147160022398,8.526144503609826e-05,2.2552691982999342e-08
1,2.104538827464139e-117,1.0,4.41762306416614e-174
1,0.0006443621092195771,0.9993555462834179,9.160742933606636e-08
