,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10
2005-01-01,-2.8455037938744425,-1.850311328597272,-0.034640985993067024,-2.5298403222950743,-0.5162171925912766,0.525244968143732,-13.334011981317957,0.9981266471955981,-0.5740045357995086,-1.132568788088086
2005-01-08,-2.671989941811449,-1.721775181750841,-0.03019583255417709,-2.5386822936556075,-0.5347022232531994,0.5535848648969994,-9.716031807086427,0.9564565462768518,-0.6118229745059045,-1.1500244918863205
2005-01-15,-2.4527867833903163,-1.7346358448550376,0.023708953619330675,-2.541220118424138,-0.6641713946764353,0.6209153968808439,-6.075016654053017,0.9385938646761527,-0.6665642203702171,-1.1494351571782615
2005-01-22,-2.5081215339007197,-1.740919731624871,0.07160024444856451,-2.4980052006589872,-0.4508549447338927,0.684815695371502,-2.4387586327159463,0.9181341171926224,-0.7187880096193768,-1.1501371950216037
2005-01-29,-2.6024940471935047,-1.7130876260061811,0.1189007332900193,-2.517899153745075,-0.5943133670835575,0.7493039735672289,1.201710709160707,0.8942724759950814,-0.773950724301299,-1.1565129140994301
2005-02-05,-2.7047877264010047,-1.644075916780617,0.041527176027468096,-2.5306297970723866,-0.832327646907128,0.5431455449622126,1.1831013466426434,0.8265538767850437,-1.0798857263056731,-1.1542983789443484
2005-02-12,-2.64419748109417,-1.6263439972797877,-0.032697683405895725,-2.5478128756031846,-0.8084233417465649,0.338613051709019,1.1658646415477993,0.7596058230521902,-1.3874431779272594,-1.151233811164532
2005-02-19,-2.525199489342959,-1.6679341807024173,-0.09316547289823199,-2.5963314449814288,-0.8295151140233827,0.14791640271439851,1.1582307222945565,0.6977861763431775,-1.7018580349682633,-1.1471867655553107
2005-02-26,-2.253530467357252,-1.687570147533784,-0.15863080033867402,-2.6304831227220635,-0.7908291861601443,-0.04962716467546294,1.1455197303283915,0.63396038874763,-2.013750757496694,-1.142051849772467
2005-03-05,-2.023157649913302,-1.6734790007307094,-0.0008462671491659123,-2.639783397325558,-0.7413317641095121,-0.08830815503497703,1.4274231464390326,0.6164869304093192,-1.6101511092291212,-1.0659949451418362
